is_manipulated,manipulation_angle,online_feedback,endpoint_feedback,was_restarted,is_judged,label,too_slow,manipulation_type,rt,target_angle,reach_angle,diff_angle,target_dist,trial,id,exp_version,judgement_rt,judgement_decision_time,judgement_loc,judgement_width,judgement_score
1,-60,1,1,0,0,PERTURBATION,0,ROTATION,0.370049953460693,-90,-107.331760756496,-17.3317607564956,80,95,msl000290,v1,0,0,0,0,2189
1,-60,1,1,0,1,PERTURBATION,0,ROTATION,0.450494050979614,-90,-21.6825280077061,68.3174719922939,80,96,msl000290,v1,0.0576040744781494,5.44165086746216,69.5610574722296,21.9754013061525,2268
1,35,1,1,0,0,PERTURBATION,0,ROTATION,0.390592098236084,-90,-103.662913026543,-13.6629130265425,80,97,msl000290,v1,0,0,0,0,2268
1,35,1,1,0,1,PERTURBATION,0,ROTATION,0.322506904602051,-90,-121.396137903582,-31.3961379035817,80,98,msl000290,v1,0.637736082077026,3.77365803718567,-19.850757408142,27.6470462799073,2341
1,-25,1,1,0,0,PERTURBATION,0,ROTATION,0.504494905471802,-90,-105.843753488682,-15.8437534886821,80,99,msl000290,v1,0,0,0,0,2341
1,-25,1,1,0,1,PERTURBATION,0,ROTATION,0.788764953613281,-90,-42.9667157092264,47.0332842907736,80,100,msl000290,v1,0.193323850631714,4.36935687065125,39.0342624664307,26.9797939300538,2341
1,-35,1,1,0,0,PERTURBATION,0,ROTATION,0.423069000244141,-90,-107.336335307407,-17.3363353074074,80,101,msl000290,v1,0,0,0,0,2341
1,-35,1,1,0,1,PERTURBATION,0,ROTATION,0.473621129989624,-90,-34.4061554283546,55.5938445716454,80,102,msl000290,v1,0.161218643188477,4.42524480819702,53.0465618133548,18.6391395568849,2341
1,50,1,1,0,0,PERTURBATION,0,ROTATION,0.729971885681152,-90,-102.010623178472,-12.010623178472,80,103,msl000290,v1,0,0,0,0,2341
1,50,1,1,0,1,PERTURBATION,0,ROTATION,0.362393856048584,-90,-136.597246477921,-46.5972464779212,80,104,msl000290,v1,0.315741539001465,4.99567365646362,-39.5347017288208,26.3125415802003,2415
1,60,1,1,0,0,PERTURBATION,0,ROTATION,0.449136018753052,-90,-111.872370063402,-21.872370063402,80,105,msl000290,v1,0,0,0,0,2415
1,60,1,1,0,1,PERTURBATION,0,ROTATION,0.379064083099365,-90,-132.897843804527,-42.8978438045268,80,106,msl000290,v1,0.30887508392334,4.72491812705994,-36.53206615448,25.9789154052735,2415
1,-20,1,1,0,0,PERTURBATION,0,ROTATION,0.496299028396606,-90,-111.199367644603,-21.1993676446027,80,107,msl000290,v1,0,0,0,0,2415
1,-20,1,1,0,1,PERTURBATION,0,ROTATION,0.320136070251465,-90,-73.2119693996138,16.7880306003862,80,108,msl000290,v1,0.266780853271484,3.49082088470459,36.1984399795532,26.9797939300538,2489
1,30,1,1,0,0,PERTURBATION,0,ROTATION,0.427649021148682,-90,-103.765533011877,-13.7655330118767,80,109,msl000290,v1,0,0,0,0,2489
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.305812120437622,-90,-121.891675573019,-31.8916755730188,80,110,msl000290,v1,0.54699444770813,3.16294240951538,-17.8490003585815,27.9806724548341,2562
1,-30,1,1,0,0,PERTURBATION,0,ROTATION,0.577301979064941,-90,-101.52904415051,-11.5290441505104,80,111,msl000290,v1,0,0,0,0,2562
1,-30,1,1,0,1,PERTURBATION,0,ROTATION,0.360026836395264,-90,-49.7680680854781,40.2319319145219,80,112,msl000290,v1,0.339041471481323,3.79505753517151,40.8692064285279,27.3134201049806,2635
1,-45,1,1,0,0,PERTURBATION,0,ROTATION,0.373959064483643,-90,-108.871746707157,-18.8717467071566,80,113,msl000290,v1,0,0,0,0,2635
1,-45,1,1,0,1,PERTURBATION,0,ROTATION,0.479461908340454,-90,-29.0223696033668,60.9776303966332,80,114,msl000290,v1,0.204328536987305,5.16433238983154,67.7261135101324,20.9745227813722,2635
1,25,1,1,0,0,PERTURBATION,0,ROTATION,0.338813066482544,-90,-102.668190897325,-12.6681908973255,80,115,msl000290,v1,0,0,0,0,2635
1,25,1,1,0,1,PERTURBATION,0,ROTATION,0.403162002563477,-90,-116.156218582133,-26.1562185821326,80,116,msl000290,v1,0.338956356048584,2.41893744468689,-12.0105422973633,22.3090274810792,2713
1,-40,1,1,0,0,PERTURBATION,0,ROTATION,0.641340017318726,-90,-104.580110649436,-14.5801106494359,80,117,msl000290,v1,0,0,0,0,2713
1,-40,1,1,0,1,PERTURBATION,0,ROTATION,0.405543088912964,-90,-41.7455256115498,48.2544743884503,80,118,msl000290,v1,0.0619862079620361,4.10190510749817,53.0465618133548,23.3099060058595,2790
1,55,1,1,0,0,PERTURBATION,0,ROTATION,0.29007887840271,-90,-96.6917926577206,-6.69179265772061,80,119,msl000290,v1,0,0,0,0,2790
1,55,1,1,0,1,PERTURBATION,0,ROTATION,0.397610187530518,-90,-138.304619782709,-48.3046197827087,80,120,msl000290,v1,0.710997343063355,3.77497339248657,-35.3643745422363,27.6470462799073,2863
1,45,1,1,0,0,PERTURBATION,0,ROTATION,0.406322002410889,-90,-101.124907398917,-11.1249073989168,80,121,msl000290,v1,0,0,0,0,2863
1,45,1,1,0,1,PERTURBATION,0,ROTATION,0.291120052337647,-90,-135.025371139119,-45.0253711391188,80,122,msl000290,v1,0.288435935974121,3.26439785957336,-28.3582248687743,19.9736442565919,2944
1,-55,1,1,0,0,PERTURBATION,0,ROTATION,0.378341197967529,-90,-101.303308385173,-11.3033083851734,80,123,msl000290,v1,0,0,0,0,2944
1,-55,1,1,0,1,PERTURBATION,0,ROTATION,0.743254899978638,-90,-40.491029628362,49.508970371638,80,124,msl000290,v1,0.500615358352661,4.93259453773499,63.8894124984746,27.3134201049806,3017
1,15,1,1,0,0,PERTURBATION,0,ROTATION,0.437985181808472,-90,-104.102438246898,-14.1024382468976,80,125,msl000290,v1,0,0,0,0,3017
1,15,1,1,0,1,PERTURBATION,0,ROTATION,0.630719900131226,-90,-110.416764715286,-20.416764715286,80,126,msl000290,v1,0.538711071014404,4.09073305130005,0,7.29584960937513,3017
1,15,1,1,0,0,PERTURBATION,0,ROTATION,0.694069862365723,-90,-110.195302678828,-20.1953026788283,80,127,msl000290,v1,0,0,0,0,3017
1,15,1,1,0,1,PERTURBATION,0,ROTATION,0.416472911834717,-90,-107.697479846353,-17.6974798463533,80,128,msl000290,v1,0.536654710769653,1.73657155036926,0,20.3072704315187,3097
1,-20,1,1,0,0,PERTURBATION,0,ROTATION,0.43965482711792,-90,-101.340050417967,-11.3400504179674,80,129,msl000290,v1,0,0,0,0,3097
1,-20,1,1,0,1,PERTURBATION,0,ROTATION,0.473669052124023,-90,-110.113834919421,-20.113834919421,80,130,msl000290,v1,0.254905462265015,4.04692959785461,36.0316268920898,24.6444107055665,3097
1,0,1,1,0,0,PERTURBATION,0,ROTATION,0.950908184051514,-90,-102.528325175737,-12.5283251757368,80,131,msl000290,v1,0,0,0,0,3097
1,0,1,1,0,1,PERTURBATION,0,ROTATION,0.485591888427734,-90,-76.2171886290566,13.7828113709434,80,132,msl000290,v1,0.283140420913696,2.82711434364319,13.5118600845337,22.9762798309327,3097
1,-55,1,1,0,0,PERTURBATION,0,ROTATION,0.509301900863648,-90,-92.9982460330408,-2.99824603304081,80,133,msl000290,v1,0,0,0,0,3097
1,-55,1,1,0,1,PERTURBATION,0,ROTATION,0.47199010848999,-90,-36.0912892320638,53.9087107679362,80,134,msl000290,v1,0.262792587280273,4.2307505607605,54.7146926879886,24.6444107055665,3173
1,-45,1,1,0,0,PERTURBATION,0,ROTATION,0.554342031478882,-90,-95.9576069059812,-5.95760690598121,80,135,msl000290,v1,0,0,0,0,3173
1,-45,1,1,0,1,PERTURBATION,0,ROTATION,0.526083946228027,-90,-60.1539978767704,29.8460021232296,80,136,msl000290,v1,0.244566917419434,4.10055685043335,45.5399728775026,18.9727657318117,3173
1,50,1,1,0,0,PERTURBATION,0,ROTATION,0.610806941986084,-90,-89.8282187406504,0.171781259349658,80,137,msl000290,v1,0,0,0,0,3173
1,50,1,1,0,1,PERTURBATION,0,ROTATION,0.526432037353516,-90,-143.160179442381,-53.1601794423808,80,138,msl000290,v1,0.296041250228882,5.35208439826965,-60.0527114868168,19.9736442565919,3254
1,40,1,1,0,0,PERTURBATION,0,ROTATION,0.43112587928772,-90,-105.732917374181,-15.7329173741805,80,139,msl000290,v1,0,0,0,0,3254
1,40,1,1,0,1,PERTURBATION,0,ROTATION,0.342237949371338,-90,-114.21073259709,-24.2107325970899,80,140,msl000290,v1,0.597220897674561,3.64522194862366,-24.68833694458,31.3169342041016,3254
1,-15,1,1,0,0,PERTURBATION,0,ROTATION,0.380967855453491,-90,-103.901516300542,-13.9015163005422,80,141,msl000290,v1,0,0,0,0,3254
1,-15,1,1,0,1,PERTURBATION,0,ROTATION,0.516066074371338,-90,-57.8251226568306,32.1748773431694,80,142,msl000290,v1,1.82483816146851,5.04089117050171,0,85.6980007171634,3269
1,20,1,1,0,0,PERTURBATION,0,ROTATION,0.417470932006836,-90,-104.865087253491,-14.8650872534911,80,143,msl000290,v1,0,0,0,0,3269
1,20,1,1,0,1,PERTURBATION,0,ROTATION,0.857241868972778,-90,-105.834451123383,-15.8344511233833,80,144,msl000290,v1,0.226022005081177,3.10596585273743,-4.33714027404785,21.9754013061525,3348
1,-25,1,1,0,0,PERTURBATION,0,ROTATION,0.535423040390015,-90,-101.185443133811,-11.1854431338112,80,145,msl000290,v1,0,0,0,0,3348
1,-25,1,1,0,1,PERTURBATION,0,ROTATION,0.989622116088867,-90,-60.3727969425654,29.6272030574346,80,146,msl000290,v1,0.133883237838745,2.79786920547485,24.8551500320434,21.9754013061525,3427
1,-40,1,1,0,0,PERTURBATION,0,ROTATION,0.395849943161011,-90,-105.050793326268,-15.0507933262675,80,147,msl000290,v1,0,0,0,0,3427
1,-40,1,1,0,1,PERTURBATION,0,ROTATION,0.459676027297974,-90,-42.4823306316892,47.5176693683108,80,148,msl000290,v1,0.281014919281006,4.88105010986328,61.0535900115971,21.308148956299,3506
